english,russian,transcription,example,category,level
user,пользователь,[ˈjuːzə],The user represents hope,Наука и образование,A1
resolution,разрешение,[ˌrɛzəˈluːʃən],This resolution symbolizes freedom,Наука и образование,B2
chip,чип,[ʧɪp],A rare chip was discovered,Наука и образование,A1
link,ссылка,[lɪŋk],The link represents hope,Наука и образование,A1
display,дисплей,[dɪsˈpleɪ],The modern display is innovative,Наука и образование,B1
keyboard,клавиатура,[ˈkiːbɔːd],A perfect keyboard is hard to find,Наука и образование,B1
laptop,ноутбук,[ˈlæpˌtɒp],The laptop inspires creativity,Наука и образование,A2
PC,ПК,[piː-siː] [ˈpɜːsnl kəmˈpjuːtə],Our PC promotes unity,Наука и образование,A1
tablet,планшетный компьютер,[ˈtæblɪt],The tablet offers opportunities,Наука и образование,A2
mail,почта,[meɪl],This mail requires attention,Наука и образование,A1
net,сеть,[nɛt],I'm neting as we speak,Наука и образование,A1
content,содержание,[ˈkɒntɛnt],Every content contains wisdom,Наука и образование,B1
drawing,рисунок,[ˈdrɔːɪŋ],The drawing provides comfort,Искусство и культура,B1
art,искусство,[ɑːt],A beautiful art emerged,Искусство и культура,A1
event,мероприятие,[ɪˈvɛnt],The powerful event transformed lives,Искусство и культура,A2
image,изображение,[ˈɪmɪʤ],The delicate image needs care,Искусство и культура,A2
picture,картина,[ˈpɪkʧə],This unique picture stands out,Искусство и культура,B1
artist,художник,[ˈɑːtɪst],The artist is absolutely essential,Искусство и культура,A2
design,дизайн,[dɪˈzaɪn],My design needs replacing soon,Искусство и культура,A2
style,стиль,[staɪl],Her style caught everyone's attention,Искусство и культура,A2
painting,живопись,[ˈpeɪntɪŋ],This painting belongs to my friend,Искусство и культура,B1
camera,фотокамера,[ˈkæmərə],Every camera tells its own story,Искусство и культура,A2
photo,фото,[ˈfəʊtəʊ],The photo arrived right on time,Искусство и культура,A2
culture,культура,[ˈkʌlʧə],Our culture has seen better days,Искусство и культура,B1
background,фон,[ˈbækgraʊnd],Your background is quite impressive,Искусство и культура,B2
photograph,фотография,[ˈfəʊtəgrɑːf],Their photograph costs a fortune,Искусство и культура,B2
exhibition,выставка,[ˌɛksɪˈbɪʃən],A good exhibition makes all the difference,Искусство и культура,B2
portrait,портрет,[ˈpɔːtrɪt],The best portrait I've ever seen,Искусство и культура,B1
paint,краска,[peɪnt],That paint reminds me of home,Искусство и культура,A2
pencil,карандаш,[ˈpɛnsl],This pencil comes from abroad,Искусство и культура,A2
charcoal,уголь,[ˈʧɑːkəʊl],The old charcoal still works perfectly,Искусство и культура,B1
brush,кисть,[brʌʃ],A new brush would be nice,Искусство и культура,A2
pen,авторучка,[pɛn],The pen broke down yesterday,Искусство и культура,A1
movie,фильм,[ˈmuːvi],My favorite movie is missing,Искусство и культура,A2
film,фильм,[fɪlm],Her film won first prize,Искусство и культура,A1
play,пьеса,[pleɪ],The play speaks for itself,Искусство и культура,A1
audience,аудитория,[ˈɔːdjəns],Every audience has its purpose,Искусство и культура,B1
video,видео,[ˈvɪdɪəʊ],The video exceeded expectations,Искусство и культура,A2
actor,актер,[ˈæktə],Our actor brings joy daily,Искусство и культура,A2
series,сериал,[ˈsɪəriːz],That series holds special meaning,Искусство и культура,A2
stage,сцена,[steɪʤ],The stage represents hope,Искусство и культура,A2
dancer,танцор,[ˈdɑːnsə],This dancer symbolizes freedom,Искусство и культура,A2
studio,студия,[ˈstjuːdɪəʊ],A rare studio was discovered,Искусство и культура,A2
theater,театр,[ˈθɪətə],The ancient theater survived centuries,Искусство и культура,B1
viewer,зритель,[ˈvjuːə],The modern viewer is innovative,Искусство и культура,A2
script,сценарий,[skrɪpt] [ˈskriːnpleɪ],A perfect script is hard to find,Искусство и культура,A2
celebrity,знаменитость,[sɪˈlɛbrɪti],The celebrity inspires creativity,Искусство и культура,B2
scene,сцена,[siːn],Our scene promotes unity,Искусство и культура,A2
song,песня,[sɒŋ],The song offers opportunities,Искусство и культура,A1
band,группа,[bænd],This band requires attention,Искусство и культура,A1
singer,певец,[ˈsɪŋə],The singer deserves recognition,Искусство и культура,A2
musician,музыкант,[mju(ː)ˈzɪʃən],Every musician contains wisdom,Искусство и культура,B1
performance,выступление,[pəˈfɔːməns],The performance provides comfort,Искусство и культура,C1
dance,танец,[dɑːns],A beautiful dance emerged,Искусство и культура,A2
concert,концерт,[ˈkɒnsə(ː)t],The powerful concert transformed lives,Искусство и культура,B1
bell,колокольчик,[bɛl],The delicate bell needs care,Искусство и культура,A1
string,струна,[strɪŋ],This unique string stands out,Искусство и культура,A2
story,история,[ˈstɔːri],The story is absolutely essential,Искусство и культура,A2
guitar,гитара,[gɪˈtɑː],My guitar needs replacing soon,Искусство и культура,A2
piano,пианино,[pɪˈænəʊ]  [ˈpjɑːnəʊ],Her piano caught everyone's attention,Искусство и культура,A2
music,музыка,[ˈmjuːzɪk],This music belongs to my friend,Искусство и культура,A2
role,роль,[rəʊl],Every role tells its own story,Искусство и культура,A1
show,шоу,[ʃəʊ],The show arrived right on time,Искусство и культура,A1
book,книга,[bʊk],Our book has seen better days,Искусство и культура,A1
author,автор,[ˈɔːθə],Your author is quite impressive,Искусство и культура,A2
page,страница,[peɪʤ],Their page costs a fortune,Искусство и культура,A1
language,язык,[ˈlæŋgwɪʤ],A good language makes all the difference,Искусство и культура,A2
article,статья,[ˈɑːtɪkl],The best article I've ever seen,Искусство и культура,B1
character,характер,[ˈkærɪktə],That character reminds me of home,Искусство и культура,B2
reader,читатель,[ˈriːdə],This reader comes from abroad,Искусство и культура,A2
text,текст,[tɛkst],The old text still works perfectly,Искусство и культура,A1
title,название,[ˈtaɪtl],A new title would be nice,Искусство и культура,A2
critic,критик,[ˈkrɪtɪk],The critic broke down yesterday,Искусство и культура,A2
context,контекст,[ˈkɒntɛkst],My favorite context is missing,Искусство и культура,B1
writing,написание,[ˈraɪtɪŋ],Her writing won first prize,Искусство и культура,B1
literature,литература,[ˈlɪtərɪʧə],The literature speaks for itself,Искусство и культура,B2
reading,чтение,[ˈriːdɪŋ],Every reading has its purpose,Искусство и культура,B1
novel,роман,[ˈnɒvəl],The novel exceeded expectations,Искусство и культура,A2
tale,сказка,[teɪl],Our tale brings joy daily,Искусство и культура,A1
story,история,[ˈstɔːri],That story holds special meaning,Искусство и культура,A2
mystery,тайна,[ˈmɪstəri],The mystery represents hope,Искусство и культура,B1
publication,публикация,[ˌpʌblɪˈkeɪʃən],This publication symbolizes freedom,Искусство и культура,C1
poem,стихотворение,[ˈpəʊɪm],A rare poem was discovered,Искусство и культура,A1
essay,эссе,[ˈɛseɪ],The ancient essay survived centuries,Искусство и культура,A2
drama,драма,[ˈdrɑːmə],The modern drama is innovative,Искусство и культура,A2
fiction,вымысел,[ˈfɪkʃən],A perfect fiction is hard to find,Искусство и культура,B1
journal,дневник,[ˈʤɜːnl],The journal inspires creativity,Искусство и культура,B1
episode,эпизод,[ˈɛpɪsəʊd],Our episode promotes unity,Искусство и культура,B1
adventure,приключение,[ədˈvɛnʧə],The adventure offers opportunities,Искусство и культура,B2
tragedy,трагедия,[ˈtræʤɪdi],This tragedy requires attention,Искусство и культура,B1
poet,поэт,[ˈpəʊɪt],The poet deserves recognition,Искусство и культура,A1
poetry,поэзия,[ˈpəʊɪtri],Every poetry contains wisdom,Искусство и культура,A2
plot,сюжет,[plɒt],The plot provides comfort,Искусство и культура,A1
writer,писатель,[ˈraɪtə],A beautiful writer emerged,Искусство и культура,A2
god,бог,[gɒd],The powerful god transformed lives,Искусство и культура,A1
devil,дьявол,[ˈdɛvl],The delicate devil needs care,Искусство и культура,A2
belief,вера,[bɪˈliːf],This unique belief stands out,Искусство и культура,A2
religion,религия,[rɪˈlɪʤən],The religion is absolutely essential,Искусство и культура,B1
paradise,рай,[ˈpærədaɪs],My paradise needs replacing soon,Искусство и культура,B1
hell,ад,[hɛl],Her hell caught everyone's attention,Искусство и культура,A1
faith,вера,[feɪθ],This faith belongs to my friend,Искусство и культура,A2
prayer,молитва,[preə],Every prayer tells its own story,Искусство и культура,A2
priest,священник,[priːst],The priest arrived right on time,Искусство и культура,A2
heaven,небеса,[ˈhɛvn],Our heaven has seen better days,Искусство и культура,A2
Bible,Библия,[ˈbaɪbl],Your Bible is quite impressive,Искусство и культура,A2
sin,грех,[sɪn],Their sin costs a fortune,Искусство и культура,A1
church,церковь,[ʧɜːʧ],A good church makes all the difference,Искусство и культура,A2
creation,создание,[kri(ː)ˈeɪʃən],The best creation I've ever seen,Искусство и культура,B1
being,бытие,[ˈbiːɪŋ],That being reminds me of home,Искусство и культура,A2
spirit,дух,[ˈspɪrɪt],This spirit comes from abroad,Искусство и культура,A2
existence,существование,[ɪgˈzɪstəns],The old existence still works perfectly,Искусство и культура,B2
christian,христианин,[ˈkrɪstjən],A new christian would be nice,Искусство и культура,B2
muslim,мусульманин,[ˈmʊslɪm],The muslim broke down yesterday,Искусство и культура,A2
buddhist,буддист,[ˈbʊdɪst],My favorite buddhist is missing,Искусство и культура,B1
player,игрок,[ˈpleɪə],Her player won first prize,Искусство и культура,A2
sport,спорт,[spɔːt],The sport speaks for itself,Искусство и культура,A2
race,гонка,[reɪs],Every race has its purpose,Искусство и культура,A1
seat,сиденье,[siːt],The seat exceeded expectations,Искусство и культура,A1
ball,мяч,[bɔːl],Our ball brings joy daily,Искусство и культура,A1
score,счет,[skɔː],That score holds special meaning,Искусство и культура,A2
turn,ход,[tɜːn],The turn represents hope,Искусство и культура,A1
fan,болельщик,[fæn],This fan symbolizes freedom,Искусство и культура,A1
run,бег,[rʌn],A rare run was discovered,Искусство и культура,A1
exercise,упражнение,[ˈɛksəsaɪz],The ancient exercise survived centuries,Искусство и культура,C1
"workout, training",тренировка,"[ˈwɜːkaʊt], [ˈtreɪnɪŋ]","The modern workout, training is innovative",Искусство и культура,C2
athlete,спортсмен,[ˈæθliːt],A perfect athlete is hard to find,Искусство и культура,B1
basketball,баскетбол,[ˈbɑːskɪtˌbɔːl],The basketball inspires creativity,Искусство и культура,B2
football,футбол,[ˈfʊtbɔːl],Our football promotes unity,Искусство и культура,B1
soccer,футбол,[ˈsɒkə],The soccer offers opportunities,Искусство и культура,A2
hockey,хоккей,[ˈhɒki],This hockey requires attention,Искусство и культура,A2
chess,шахматы,[ʧɛs],The chess deserves recognition,Искусство и культура,A2
league,лига,[liːg],Every league contains wisdom,Искусство и культура,A2
championship,чемпионат,[ˈʧæmpjənʃɪp],The championship provides comfort,Искусство и культура,C1
round,раунд,[raʊnd],A beautiful round emerged,Искусство и культура,A2
match,матч,[mæʧ],The powerful match transformed lives,Искусство и культура,A2
champion,чемпион,[ˈʧæmpjən],The delicate champion needs care,Искусство и культура,B1
tournament,турнир,[ˈtʊənəmənt],This unique tournament stands out,Искусство и культура,B2
game,игра,[geɪm],The game is absolutely essential,Искусство и культура,A1
"stake, bet",ставка,"[steɪk], [bɛt]","My stake, bet needs replacing soon",Искусство и культура,B2
winner,победитель,[ˈwɪnə],Her winner caught everyone's attention,Искусство и культура,A2
loser,проигравший,[ˈluːzə],This loser belongs to my friend,Искусство и культура,A2
weigh,весить,[weɪ],He weighs like a professional,Здоровье и медицина,A2
balance,балансировать,[ˈbæləns],You need to balance carefully,Здоровье и медицина,B1
flow,течь,[fləʊ],Please flow when you're ready,Здоровье и медицина,A1
transform,трансформировать,[trænsˈfɔːm],Don't transform unless absolutely necessary,Здоровье и медицина,C1
recover,восстанавливать,[rɪˈkʌvə],I've never recovered anything like this,Здоровье и медицина,B1
expose,выставлять,[ɪksˈpəʊz],She used to expose all the time,Здоровье и медицина,A2
pop,хлопать,[pɒp],They'll pop tomorrow morning,Здоровье и медицина,A1
indicate,указывать,[ˈɪndɪkeɪt],Can you indicate for me?,Здоровье и медицина,B2
alter,изменять,[ˈɔːltə],I wish I could alter better,Здоровье и медицина,A2
alternate,чередовать,[ɔːlˈtɜːnɪt],He alternates without thinking,Здоровье и медицина,B2
double,удваивать,[ˈdʌbl],We must double together,Здоровье и медицина,A2
retain,удерживать,[rɪˈteɪn],Stop retaining immediately!,Здоровье и медицина,C1
fade,увядать,[feɪd],I love to fade on weekends,Здоровье и медицина,A1
form,формировать,[fɔːm],She refuses to form anymore,Здоровье и медицина,A1
shape,придавать форму,[ʃeɪp],The shape speaks for itself,Здоровье и медицина,A2
change,менять,[ʧeɪnʤ],Keep changeing until you succeed,Здоровье и медицина,A2
place,размещать,[pleɪs],I forgot to place yesterday,Здоровье и медицина,A1
rise,поднимать,[raɪz],She promised to rise soon,Здоровье и медицина,A1
reflect,отражать,[rɪˈflɛkt],We learned to reflect properly,Здоровье и медицина,B1
enable,включать,[ɪˈneɪbl],He tends to enable too much,Здоровье и медицина,A2
wave,развеваться,[weɪv],This wave symbolizes freedom,Здоровье и медицина,A1
snap,щелкать,[snæp],I can't snap right now,Здоровье и медицина,A1
display,показывать,[dɪsˈpleɪ],She wants to display someday,Здоровье и медицина,B1
stick,липнуть,[stɪk],The modern stick is innovative,Здоровье и медицина,A2
reach,достигать,[riːʧ],I remember reaching as a child,Здоровье и медицина,A2
catch,ловить,[kæʧ],He enjoys catching alone,Здоровье и медицина,A2
drop,ронять,[drɒp],We finished droping at noon,Здоровье и медицина,B1
hang,повесить,[hæŋ],She started hanging early,Здоровье и медицина,A1
touch,прикасаться,[tʌʧ],This touch requires attention,Здоровье и медицина,A2
clear,очищать,[klɪə],I'm clearing as we speak,Здоровье и медицина,A2
pour,лить,[pɔː],He was pouring all day,Здоровье и медицина,A1
stir,перемешивать,[stɜː],We've been stiring for hours,Здоровье и медицина,A1
clean,чистить,[kliːn],She has cleaned many times,Здоровье и медицина,A2
wrap,заворачивать,[ræp],They had wraped before,Здоровье и медицина,A1
wash,стирать,[wɒʃ],I will wash tomorrow,Здоровье и медицина,A1
ring,звонить,[rɪŋ],He would ring if he could,Здоровье и медицина,A1
embrace,обнимать,[ɪmˈbreɪs],I embrace every chance I get,Здоровье и медицина,B1
hug,обнимать,[hʌg],She hugs more than anyone I know,Здоровье и медицина,A1
put,класть,[pʊt],Her put caught everyone's attention,Здоровье и медицина,A1
use,использовать,[juːz],We should use before it's too late,Здоровье и медицина,A1
show,показывать,[ʃəʊ],He shows like a professional,Здоровье и медицина,A1
hold,держать,[həʊld],You need to hold carefully,Здоровье и медицина,A2
open,открывать,[ˈəʊpən],Please open when you're ready,Здоровье и медицина,A1
cut,резать,[kʌt],Don't cut unless absolutely necessary,Здоровье и медицина,A1
pull,тянуть,[pʊl],Their pull costs a fortune,Здоровье и медицина,A1
break,ломать,[breɪk],She used to break all the time,Здоровье и медицина,A2
cover,прикрывать,[ˈkʌvə],They'll cover tomorrow morning,Здоровье и медицина,A2
draw,тянуть,[drɔː],That draw reminds me of home,Здоровье и медицина,A1
point,указывать,[pɔɪnt],I wish I could point better,Здоровье и медицина,A2
close,закрывать,[kləʊz],He closes without thinking,Здоровье и медицина,A1
replace,заменять,[rɪˈpleɪs],We must replace together,Здоровье и медицина,B1
collect,собирать,[kəˈlɛkt],Stop collecting immediately!,Здоровье и медицина,B1
grab,хватать,[græb],I love to grab on weekends,Здоровье и медицина,A1
tie,связывать,[taɪ],She refuses to tie anymore,Здоровье и медицина,A1
press,давить,[prɛs],They began to press slowly,Здоровье и медицина,A2
link,соединять,[lɪŋk],Keep linking until you succeed,Здоровье и медицина,A1
mix,перемешивать,[mɪks],I forgot to mix yesterday,Здоровье и медицина,A1
stretch,растягивать,[strɛʧ],She promised to stretch soon,Здоровье и медицина,B1
hand,подавать что-то,[hænd],That hand holds special meaning,Здоровье и медицина,A1
knock,стучать,[nɒk],He tends to knock too much,Здоровье и медицина,A2
bend,гнуть,[bɛnd],This bend symbolizes freedom,Здоровье и медицина,A1
lock,запирать на замок,[lɒk],A rare lock was discovered,Здоровье и медицина,A1
tear,рвать,[teə],She wants to tear someday,Здоровье и медицина,A1
pack,упаковывать,[pæk],They decided to pack together,Здоровье и медицина,A1
attach,прикреплять,[əˈtæʧ],I remember attaching as a child,Здоровье и медицина,A2
dig,копать,[dɪg],He enjoys diging alone,Здоровье и медицина,A1
bind,связывать,[baɪnd],We finished binding at noon,Здоровье и медицина,A1
wind,закручивать,[waɪnd],She started winding early,Здоровье и медицина,A1
wipe,протирать,[waɪp],They continued wipeing despite difficulties,Здоровье и медицина,A1
load,загружать,[ləʊd],I'm loading as we speak,Здоровье и медицина,A1
sweep,мести,[swiːp],He was sweeping all day,Здоровье и медицина,A2
squeeze,сжимать,[skwiːz],We've been squeezeing for hours,Здоровье и медицина,B1
rub,тереть,[rʌb],She has rubed many times,Здоровье и медицина,A1
tap,постукивать,[tæp],They had taped before,Здоровье и медицина,A1
spin,вращать,[spɪn],I will spin tomorrow,Здоровье и медицина,A1
plant,сажать,[plɑːnt],He would plant if he could,Здоровье и медицина,A2
pick,выбирать,[pɪk],I pick every chance I get,Здоровье и медицина,A1
gather,собирать,[ˈgæðə],She gathers more than anyone I know,Здоровье и медицина,A2
hide,прятать,[haɪd],They hideed all night long,Здоровье и медицина,A1
blow,дуть,[bləʊ],This blow belongs to my friend,Здоровье и медицина,A1
smoke,курить,[sməʊk],He smokes like a professional,Здоровье и медицина,A2
act,действовать,[ækt],You need to act carefully,Здоровье и медицина,A1
do,делать,[duː],Please do when you're ready,Здоровье и медицина,A1
demonstrate,демонстрировать,[ˈdɛmənstreɪt],Don't demonstrate unless absolutely necessary,Здоровье и медицина,B2
lean,прислоняться,[liːn],Their lean costs a fortune,Здоровье и медицина,A1
fix,чинить,[fɪks],She used to fix all the time,Здоровье и медицина,A1
nod,кивать,[nɒd],They'll nod tomorrow morning,Здоровье и медицина,A1
pose,позировать,[pəʊz],Can you pose for me?,Здоровье и медицина,A1
send,отправлять,[sɛnd],I wish I could send better,Здоровье и медицина,A2
burn,сжигать,[bɜːn],He burns without thinking,Здоровье и медицина,A1
shut,закрывать,[ʃʌt],We must shut together,Здоровье и медицина,A1
line,выстраивать в линию,[laɪn],The line broke down yesterday,Здоровье и медицина,A1
arrange,приводить в порядок,[əˈreɪnʤ],My favorite arrange is missing,Здоровье и медицина,B1
install,устанавливать,[ɪnˈstɔːl],She refuses to install anymore,Здоровье и медицина,B1
health,здоровье,[hɛlθ],The health speaks for itself,Здоровье и медицина,A2
care,уход,[keə],Every care has its purpose,Здоровье и медицина,A1
drug,лекарство,[drʌg],The drug exceeded expectations,Здоровье и медицина,A1
doctor,доктор,[ˈdɒktə],Our doctor brings joy daily,Здоровье и медицина,A2
patient,пациент,[ˈpeɪʃənt],That patient holds special meaning,Здоровье и медицина,B1
hospital,больница,[ˈhɒspɪtl],The hospital represents hope,Здоровье и медицина,B1
blood,кровь,[blʌd],This blood symbolizes freedom,Здоровье и медицина,A2
treatment,лечение,[ˈtriːtmənt],A rare treatment was discovered,Здоровье и медицина,B2
pain,боль,[peɪn],The ancient pain survived centuries,Здоровье и медицина,A2
disease,болезнь,[dɪˈziːz],The modern disease is innovative,Здоровье и медицина,A2
cancer,рак,[ˈkænsə],A perfect cancer is hard to find,Здоровье и медицина,A2
pills,таблетки,[pɪlz],The pills inspires creativity,Здоровье и медицина,A2
medicine,медицина,[ˈmɛdsɪn],Our medicine promotes unity,Здоровье и медицина,B1
cut,порез,[kʌt],The cut offers opportunities,Здоровье и медицина,A1
injury,травма,[ˈɪnʤəri],This injury requires attention,Здоровье и медицина,A2
aid,помощь,[eɪd],The aid deserves recognition,Здоровье и медицина,A1
surgery,хирургия,[ˈsɜːʤəri],Every surgery contains wisdom,Здоровье и медицина,B1
nurse,медсестра,[nɜːs],The nurse provides comfort,Здоровье и медицина,A2
abortion,аборт,[əˈbɔːʃ(ə)n],A beautiful abortion emerged,Здоровье и медицина,B1
diet,диета,[ˈdaɪət],The powerful diet transformed lives,Здоровье и медицина,A1
therapy,терапия,[ˈθɛrəpi],The delicate therapy needs care,Здоровье и медицина,B1
symptom,симптом,[ˈsɪmptəm],This unique symptom stands out,Здоровье и медицина,B1
shock,шок,[ʃɒk],The shock is absolutely essential,Здоровье и медицина,B1
illness,болезнь,[ˈɪlnɪs],My illness needs replacing soon,Здоровье и медицина,B1
clinic,клиника,[ˈklɪnɪk],Her clinic caught everyone's attention,Здоровье и медицина,A2
protein,белок,[ˈprəʊtiːn],This protein belongs to my friend,Здоровье и медицина,B1
survival,выживание,[səˈvaɪvəl],Every survival tells its own story,Здоровье и медицина,B1
infection,инфекция,[ɪnˈfɛkʃən],The infection arrived right on time,Здоровье и медицина,B2
virus,вирус,[ˈvaɪərəs],Our virus has seen better days,Здоровье и медицина,A2
disability,инвалидность,[ˌdɪsəˈbɪlɪti],Your disability is quite impressive,Здоровье и медицина,B2
insurance,страховка,[ɪnˈʃʊərəns],Their insurance costs a fortune,Здоровье и медицина,B2
be,быть,[biː],A good be makes all the difference,Описания,A1
exist,существовать,[ɪgˈzɪst],They'll exist tomorrow morning,Описания,A2
include,включать,[ɪnˈkluːd],Can you include for me?,Описания,A2
exclude,исключать,[ɪksˈkluːd],I wish I could exclude better,Описания,B1
add,добавлять,[æd],He adds without thinking,Описания,A1
enter,вводить,[ˈɛntə],We must enter together,Описания,A2
share,делиться,[ʃeə],The share broke down yesterday,Описания,A2
remove,удалять,[rɪˈmuːv],I love to remove on weekends,Описания,A2
receive,получать,[rɪˈsiːv],She refuses to receive anymore,Описания,A2
lose,терять,[luːz],They began to lose slowly,Описания,A2
find,найти,[faɪnd],Keep finding until you succeed,Описания,A1
have,иметь,[hæv],I forgot to have yesterday,Описания,A1
be present,присутствовать,[bi ˈprɛznt],She promised to be present soon,Описания,B2
be absent,отсутствовать,[bi ˈæbsənt],We learned to be absent properly,Описания,B2
get,получить,[gɛt],He tends to get too much,Описания,A1
take,брать,[teɪk],You should take more often,Описания,A1
give,давать,[gɪv],I can't give right now,Описания,A1
return,возвращать,[rɪˈtɜːn],She wants to return someday,Описания,B1
join,присоединять,[ʤɔɪn],They decided to join together,Описания,A2
involve,вовлекать,[ɪnˈvɒlv],I remember involveing as a child,Описания,B2
release,выпускать,[rɪˈliːs],He enjoys releaseing alone,Описания,B1
own,владеть,[əʊn],We finished owning at noon,Описания,A1
gain,получать,[geɪn],She started gaining early,Описания,B2
emerge,появляться,[ɪˈmɜːʤ],This emerge requires attention,Описания,B2
expand,расширять,[ɪksˈpænd],I'm expanding as we speak,Описания,A2
disappear,исчезать,[ˌdɪsəˈpɪə],He was disappearing all day,Описания,A2
obtain,получать,[əbˈteɪn],We've been obtaining for hours,Описания,B2
belong,принадлежать,[bɪˈlɒŋ],She has belonged many times,Описания,A2
limit,ограничивать,[ˈlɪmɪt],They had limited before,Описания,B1
spread,распространять,[sprɛd],I will spread tomorrow,Описания,A2
extend,расширять,[ɪksˈtɛnd],He would extend if he could,Описания,A2
acquire,приобретать,[əˈkwaɪə],I acquire every chance I get,Описания,B2
abandon,покидать,[əˈbændən],She abandons more than anyone I know,Описания,B2
arise,возникать,[əˈraɪz],They ariseed all night long,Описания,A2
possess,обладать,[pəˈzɛs],We should possess before it's too late,Описания,C1
leave,оставить,[liːv],He leaves like a professional,Описания,A1
occupy,занимать,[ˈɒkjʊpaɪ],You need to occupy carefully,Описания,A2
season,время года,[ˈsiːzn],Our season has seen better days,Описания,A2
winter,зима,[ˈwɪntə],Your winter is quite impressive,Описания,A2
spring,весна,[sprɪŋ],Their spring costs a fortune,Описания,A2
summer,лето,[ˈsʌmə],A good summer makes all the difference,Описания,A2
fall autumn,осень,[fɔːl] [ˈɔːtəm],The best fall autumn I've ever seen,Описания,C1
January,январь,[ˈʤænjʊəri],That January reminds me of home,Описания,B1
February,февраль,[ˈfɛbrʊəri],This February comes from abroad,Описания,B1
March,март,[mɑːʧ],The old March still works perfectly,Описания,A2
April,апрель,[ˈeɪprəl],A new April would be nice,Описания,A2
May,май,[meɪ],The May broke down yesterday,Описания,A1
June,июнь,[ʤuːn],My favorite June is missing,Описания,A1
July,июль,[ʤu(ː)ˈlaɪ],Her July won first prize,Описания,A1
August,август,[ˈɔːgəst],The August speaks for itself,Описания,A2
September,сентябрь,[sɛpˈtɛmbə],Every September has its purpose,Описания,B2
October,октябрь,[ɒkˈtəʊbə],The October exceeded expectations,Описания,B1
November,ноябрь,[nəʊˈvɛmbə],Our November brings joy daily,Описания,B1
December,декабрь,[dɪˈsɛmbə],That December holds special meaning,Описания,B1
Monday,понедельник,[ˈmʌndeɪ],The Monday represents hope,Описания,A2
Tuesday,вторник,[ˈtjuːzdeɪ],This Tuesday symbolizes freedom,Описания,B1
Wednesday,среда,[ˈwɛnzdeɪ],A rare Wednesday was discovered,Описания,B2
Thursday,четверг,[ˈθɜːzdeɪ],The ancient Thursday survived centuries,Описания,B1
Friday,пятница,[ˈfraɪdeɪ],The modern Friday is innovative,Описания,A2
Saturday,суббота,[ˈsætədeɪ],A perfect Saturday is hard to find,Описания,B1
Sunday,воскресенье,[ˈsʌndeɪ],The Sunday inspires creativity,Описания,A2
week,неделя,[wiːk],Our week promotes unity,Описания,A1
day,день,[deɪ],The day offers opportunities,Описания,A1
night,ночь,[naɪt],They continued nighting despite difficulties,Описания,A1
month,месяц,[mʌnθ],The month deserves recognition,Описания,A1
hour,час,[ˈaʊə],Every hour contains wisdom,Описания,A1
minute,минута,[ˈmɪnɪt],The minute provides comfort,Описания,A1
morning,утро,[ˈmɔːnɪŋ],A beautiful morning emerged,Описания,A1
moment,момент,[ˈməʊmənt],The powerful moment transformed lives,Описания,A2
century,век,[ˈsɛnʧʊri],The delicate century needs care,Описания,A2
period,период,[ˈpɪərɪəd],This unique period stands out,Описания,A2
future,будущее,[ˈfjuːʧə],The future is absolutely essential,Описания,A2
second,секунда,[ˈsɛkənd],My second needs replacing soon,Описания,A2
time,время,[taɪm],Her time caught everyone's attention,Описания,A1
year,год,[jɪə],This year belongs to my friend,Описания,A1
decade,десять лет,[ˈdɛkeɪd],Every decade tells its own story,Описания,A2
evening,вечер,[ˈiːvnɪŋ],The evening arrived right on time,Описания,A1
past,прошлое,[pɑːst],Our past has seen better days,Описания,A2
beginning,начало,[bɪˈgɪnɪŋ],Your beginning is quite impressive,Описания,B2
date,дата,[deɪt],Their date costs a fortune,Описания,A1
era,эра,[ˈɪərə],A good era makes all the difference,Описания,A1
present,настоящее,[ˈprɛznt],The best present I've ever seen,Описания,A2
afternoon,день,[ˈɑːftəˈnuːn],That afternoon reminds me of home,Описания,B2
old,старый,[əʊld],This old comes from abroad,Описания,A1
young,молодой,[jʌŋ],The old young still works perfectly,Описания,A1
early,ранний,[ˈɜːli],A new early would be nice,Описания,A2
late,поздний,[leɪt],The late broke down yesterday,Описания,A2
recent,недавний,[ˈriːsnt],My favorite recent is missing,Описания,A2
current,текущий,[ˈkʌrənt],Her current won first prize,Описания,B1
past,прошедший,[pɑːst],The past speaks for itself,Описания,A2
modern,современный,[ˈmɒdən],Every modern has its purpose,Описания,A2
senior,старший,[ˈsiːnjə],The senior exceeded expectations,Описания,A2
future,будущий,[ˈfjuːʧə],Our future brings joy daily,Описания,A2
previous,предыдущий,[ˈpriːvjəs],That previous holds special meaning,Описания,B1
next,следующий,[nɛkst],The next represents hope,Описания,A1
annual,ежегодный,[ˈænjʊəl],This annual symbolizes freedom,Описания,A2
following,последующий,[ˈfɒləʊɪŋ],A rare following was discovered,Описания,B2
daily,ежедневный,[ˈdeɪli],The ancient daily survived centuries,Описания,A2
primary,первичный,[ˈpraɪməri],The modern primary is innovative,Описания,B1
ancient,древний,[ˈeɪnʃ(ə)nt],A perfect ancient is hard to find,Описания,B1
initial,начальный,[ɪˈnɪʃəl],The initial inspires creativity,Описания,B1
contemporary,современный,[kənˈtɛmpərəri],Our contemporary promotes unity,Описания,C1
present,настоящий,[ˈprɛznt],A perfect present is hard to find,Описания,A2
